date,total_tickers,insufficient_data,roic_null,passed_roic,passed_fcf,passed_debt,passed_growth,passed_margin,passed_all
2010-01-31,503,480,23,0,0,0,0,0,0
2010-02-28,503,351,136,2,0,0,0,0,0
2010-03-31,503,328,157,2,0,0,0,0,0
2010-04-30,503,327,158,2,0,0,0,0,0
2010-05-31,503,324,161,2,0,0,0,0,0
2010-06-30,503,323,162,2,0,0,0,0,0
2010-07-31,503,317,168,2,0,0,0,0,0
2010-08-31,503,310,173,4,0,0,0,0,0
2010-09-30,503,307,176,4,0,0,0,0,0
2010-10-31,503,304,179,4,0,0,0,0,0
2010-11-30,503,297,182,5,1,1,0,0,0
2010-12-31,503,292,186,6,1,1,0,0,0
2011-01-31,503,288,189,6,1,1,0,0,0
2011-02-28,503,226,229,12,3,3,1,0,0
2011-03-31,503,208,240,12,3,3,1,0,0
2011-04-30,503,208,239,13,4,4,2,1,1
2011-05-31,503,208,238,13,4,4,2,1,1
2011-06-30,503,206,239,13,4,4,2,1,1
2011-07-31,503,204,240,14,5,4,2,1,1
2011-08-31,503,196,240,17,6,5,3,1,1
2011-09-30,503,195,240,17,6,5,3,1,1
2011-10-31,503,191,241,18,6,5,3,1,1
2011-11-30,503,190,240,19,7,6,3,1,1
2011-12-31,503,190,239,18,7,6,3,1,1
2012-01-31,503,190,238,18,7,6,3,1,1
2012-02-29,503,165,198,34,19,18,6,1,1
2012-03-31,503,159,202,35,20,19,6,1,1
2012-04-30,503,159,202,35,20,19,6,1,1
2012-05-31,503,157,202,35,19,18,5,0,0
2012-06-30,503,157,202,36,19,18,5,0,0
2012-07-31,503,157,199,37,20,19,5,0,0
2012-08-31,503,156,199,36,20,19,5,0,0
2012-09-30,503,155,200,36,20,19,5,0,0
2012-10-31,503,155,200,36,20,19,5,0,0
2012-11-30,503,155,198,36,20,19,6,0,0
2012-12-31,503,155,197,37,21,20,6,0,0
2013-01-31,503,155,196,38,22,21,7,1,1
2013-02-28,503,144,177,41,25,24,16,6,6
2013-03-31,503,139,174,41,25,24,16,6,6
2013-04-30,503,139,174,41,25,24,17,7,7
2013-05-31,503,139,173,41,25,24,17,7,7
2013-06-30,503,139,172,41,26,25,18,7,7
2013-07-31,503,139,170,41,26,25,18,7,7
2013-08-31,503,139,168,40,26,24,17,7,7
2013-09-30,503,138,168,41,26,24,17,7,7
2013-10-31,503,138,168,40,26,24,17,7,7
2013-11-30,503,138,167,40,26,24,18,7,7
2013-12-31,503,138,167,40,26,24,19,7,7
2014-01-31,503,138,165,40,26,24,19,6,6
2014-02-28,503,130,140,46,30,26,22,8,8
2014-03-31,503,129,141,46,30,26,22,8,8
2014-04-30,503,129,141,46,30,26,22,8,8
2014-05-31,503,129,141,46,30,26,22,8,8
2014-06-30,503,129,140,46,30,26,22,8,8
2014-07-31,503,128,140,46,30,26,22,8,8
2014-08-31,503,126,142,46,30,26,22,8,8
2014-09-30,503,126,141,46,30,26,22,8,8
2014-10-31,503,126,140,47,30,26,22,8,8
2014-11-30,503,126,139,48,31,27,23,9,9
2014-12-31,503,126,140,48,31,27,23,9,9
2015-01-31,503,126,139,48,31,27,23,9,9
2015-02-28,503,120,133,48,31,28,23,11,11
2015-03-31,503,117,133,48,31,28,24,11,11
2015-04-30,503,117,133,48,31,28,24,11,11
2015-05-31,503,117,133,48,31,28,24,11,11
2015-06-30,503,116,133,47,30,27,23,11,11
2015-07-31,503,116,133,47,30,27,23,11,11
2015-08-31,503,116,133,48,31,28,24,12,12
2015-09-30,503,115,134,48,31,28,24,12,12
2015-10-31,503,115,134,48,31,28,24,12,12
2015-11-30,503,115,134,46,29,26,22,11,11
2015-12-31,503,113,135,46,29,26,22,12,12
2016-01-31,503,113,135,46,29,26,22,12,12
2016-02-29,503,110,132,47,31,29,25,15,15
2016-03-31,503,110,131,47,31,29,25,15,15
2016-04-30,503,110,131,47,31,29,25,15,15
2016-05-31,503,110,131,48,32,30,26,15,15
2016-06-30,503,110,131,48,32,30,26,15,15
2016-07-31,503,110,131,48,32,30,26,15,15
2016-08-31,503,110,130,49,33,31,27,15,15
2016-09-30,503,110,129,49,33,31,27,15,15
2016-10-31,503,110,127,51,35,33,29,16,16
2016-11-30,503,110,125,53,36,34,30,16,16
2016-12-31,503,110,125,53,36,34,30,15,15
2017-01-31,503,110,125,53,36,34,30,15,15
2017-02-28,503,107,119,55,38,35,31,15,15
2017-03-31,503,106,116,57,40,37,33,15,15
2017-04-30,503,106,116,57,40,37,33,15,15
2017-05-31,503,106,115,56,39,36,32,15,15
2017-06-30,503,106,115,56,39,36,32,15,15
2017-07-31,503,106,115,56,39,36,32,15,15
2017-08-31,503,106,113,56,39,35,32,15,15
2017-09-30,503,106,112,56,39,35,32,15,15
2017-10-31,503,106,112,56,39,35,32,15,15
2017-11-30,503,106,112,57,41,37,34,17,17
2017-12-31,503,106,110,58,42,38,35,19,19
2018-01-31,503,106,110,58,42,38,35,19,19
2018-02-28,503,103,107,59,44,39,36,20,20
2018-03-31,503,102,107,59,44,39,36,20,20
2018-04-30,503,102,106,60,45,39,36,20,20
2018-05-31,503,102,106,60,45,39,36,20,20
2018-06-30,503,102,106,60,45,38,35,20,20
2018-07-31,503,102,106,60,45,38,35,20,20
2018-08-31,503,102,106,60,45,39,34,20,20
2018-09-30,503,102,106,60,45,39,34,20,20
2018-10-31,503,102,106,60,45,39,33,19,19
2018-11-30,503,101,106,61,45,39,32,18,18
2018-12-31,503,100,107,61,45,39,30,16,16
2019-01-31,503,100,107,62,46,40,31,16,16
2019-02-28,503,77,109,68,53,48,23,10,10
2019-03-31,503,69,114,69,53,48,23,10,10
2019-04-30,503,67,114,69,53,48,22,9,9
2019-05-31,503,65,115,69,53,48,22,9,9
2019-06-30,503,63,115,70,54,49,22,9,9
2019-07-31,503,63,115,70,54,49,22,9,9
2019-08-31,503,60,114,74,55,50,22,9,9
2019-09-30,503,58,115,75,57,51,23,10,10
2019-10-31,503,58,115,75,57,51,23,10,10
2019-11-30,503,57,115,73,56,50,21,9,9
2019-12-31,503,58,115,73,56,50,22,9,9
2020-01-31,503,58,115,73,56,50,22,9,9
2020-02-29,503,49,115,72,57,50,22,7,7
2020-03-31,503,48,113,74,58,51,24,9,9
2020-04-30,503,48,113,74,58,51,24,9,9
2020-05-31,503,48,113,75,59,52,25,9,9
2020-06-30,503,48,113,76,60,53,26,9,9
2020-07-31,503,48,113,76,60,53,26,9,9
2020-08-31,503,48,113,73,60,53,27,9,9
2020-09-30,503,48,113,73,60,53,27,9,9
2020-10-31,503,48,113,73,60,53,28,10,10
2020-11-30,503,48,112,74,61,53,28,10,10
2020-12-31,503,48,112,75,61,53,28,11,11
2021-01-31,503,48,112,75,61,53,29,12,12
2021-02-28,503,38,111,80,64,54,38,19,19
2021-03-31,503,36,112,80,64,54,38,19,19
2021-04-30,503,36,112,80,64,54,38,19,19
2021-05-31,503,36,112,80,64,54,38,19,19
2021-06-30,503,36,112,80,64,54,38,19,19
2021-07-31,503,36,112,80,64,54,38,19,19
2021-08-31,503,36,112,80,64,54,39,20,20
2021-09-30,503,36,112,80,64,54,39,20,20
2021-10-31,503,36,112,80,64,54,39,20,20
2021-11-30,503,36,111,81,66,56,40,21,21
2021-12-31,503,35,111,81,66,56,40,21,21
2022-01-31,503,35,108,82,67,57,41,22,22
2022-02-28,503,30,101,90,73,60,50,26,26
2022-03-31,503,29,99,91,74,60,51,27,27
2022-04-30,503,29,99,91,74,60,51,27,27
2022-05-31,503,29,99,91,74,60,51,27,27
2022-06-30,503,29,100,91,74,60,51,27,27
2022-07-31,503,29,100,92,75,61,52,28,28
2022-08-31,503,29,98,92,75,60,51,27,27
2022-09-30,503,29,98,92,75,60,51,27,27
2022-10-31,503,29,98,92,75,60,51,27,27
2022-11-30,503,29,98,92,75,60,53,28,28
2022-12-31,503,29,97,93,76,61,54,28,28
